,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11
0,110/125,110/132,110/132,110/127,110/125,110/125,110/125,110/130,110/125,110/125,110/125
1,110/125,110/132,110/132,110/127,110/125,110/125,110/125,110/130,110/125,110/125,110/125
2,110/125,110/132,110/132,110/127,110/125,110/125,110/125,110/130,110/125,110/125,110/125
3,110/125,110/132,110/132,110/127,110/125,110/125,110/125,110/130,110/125,110/125,110/125
4,110/125,110/132,110/132,110/127,110/125,110/125,110/125,110/130,110/125,110/125,110/125
5,110/125,110/132,110/132,110/127,110/125,110/125,110/125,110/130,110/125,110/125,110/125
6,110/125,110/132,110/132,110/127,110/125,110/125,110/125,110/130,110/125,110/125,110/125
