"Date / Time","Object Name","Object Value",
"10/19/2019 09:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.0243 ",
"10/19/2019 09:20:00 PM","OA-T.Trend - Present Value (Trend1)","56.3 ",
"10/19/2019 09:20:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 09:20:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 09:20:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 09:10:00 PM","OA-T.Trend - Present Value (Trend1)","56.84 ",
"10/19/2019 09:10:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 09:10:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2574 ",
"10/19/2019 09:10:00 PM","HHWR-T.Trend - Present Value (Trend1)","136.7748 ",
"10/19/2019 09:00:00 PM","OA-T.Trend - Present Value (Trend1)","57.02 ",
"10/19/2019 09:00:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 09:00:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2574 ",
"10/19/2019 09:00:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 08:50:00 PM","OA-T.Trend - Present Value (Trend1)","57.74 ",
"10/19/2019 08:50:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 08:50:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2574 ",
"10/19/2019 08:50:00 PM","HHWR-T.Trend - Present Value (Trend1)","135.8419 ",
"10/19/2019 08:40:00 PM","OA-T.Trend - Present Value (Trend1)","57.56 ",
"10/19/2019 08:40:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 08:40:00 PM","HHWS-T.Trend - Present Value (Trend1)","145.2846 ",
"10/19/2019 08:40:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 08:30:00 PM","OA-T.Trend - Present Value (Trend1)","57.56 ",
"10/19/2019 08:30:00 PM","LTHWAFT-SP.Trend - Present Value (Trend1)","145 ",
"10/19/2019 08:30:00 PM","HHWS-T.Trend - Present Value (Trend1)","144.1484 ",
"10/19/2019 08:30:00 PM","HHWR-T.Trend - Present Value (Trend1)","134.9252 ",
"10/19/2019 08:20:00 PM","OA-T.Trend - Present Value (Trend1)","57.92 ",
